book_title,book_author,film_title,film_year,fiction_work_raw,film_adaptation_raw,exclusion_reason
The Woman in White,Wilkie Collins,Zhenshchina v belom,1981,"The Woman in White (serialised 1859–1860, published as a book 1860), Wilkie Collins",Zhenshchina v belom (1981),not_selected_sampling_design
The World According to Garp,John Irving,The World According to Garp,1982,"The World According to Garp (1978), John Irving",The World According to Garp (1982),not_selected_sampling_design
The Year of Living Dangerously,Christopher Koch,The Year of Living Dangerously,1982,"The Year of Living Dangerously (1978), Christopher Koch",The Year of Living Dangerously (1982),not_selected_sampling_design
The Year of the Jellyfish,Christopher Frank,Year of the Jellyfish,1984,"The Year of the Jellyfish (French: L'Année des méduses) (1983), Christopher Frank",Year of the Jellyfish (1984),not_selected_sampling_design
Thunderball,Ian Fleming,Never Say Never Again,1983,"Thunderball (1961), Ian Fleming",Never Say Never Again (1983),not_selected_sampling_design
White Dog,Romain Gary,White Dog,1982,"White Dog (1970), Romain Gary",White Dog (1982),not_selected_sampling_design
Your Ticket Is No Longer Valid,Romain Gary,Your Ticket Is No Longer Valid,1981,"Your Ticket Is No Longer Valid (1977), Romain Gary",Your Ticket Is No Longer Valid (1981),not_selected_sampling_design
La lampe dans la fenêtre,Pauline Cadieux,Cordélia,1980,"La lampe dans la fenêtre (1972), Pauline Cadieux",Cordélia (1980),not_selected_sampling_design
Black Rain,Masuji Ibuse,Black Rain,1989,"Black Rain (黒い雨, Kuroi Ame) (1965), Masuji Ibuse",Black Rain (1989),not_selected_sampling_design
Blood and Sand,Vicente Blasco Ibáñez,Blood and Sand,1989,"Blood and Sand (Spanish: Sangre y arena) (1908), Vicente Blasco Ibáñez",Blood and Sand (1989),not_selected_sampling_design
Blood on the Moon,James Ellroy,Cop,1988,"Blood on the Moon (1984), James Ellroy",Cop (1988),not_selected_sampling_design
"Bright Lights, Big City",Jay McInerney,"Bright Lights, Big City",1988,"Bright Lights, Big City (1984), Jay McInerney","Bright Lights, Big City (1988)",not_selected_sampling_design
Cat Chaser,Elmore Leonard,Cat Chaser,1989,"Cat Chaser (1982), Elmore Leonard",Cat Chaser (1989),not_selected_sampling_design
Cocoon,David Saperstein,Cocoon: The Return,1988,"Cocoon (1985), David Saperstein",Cocoon: The Return (1988),not_selected_sampling_design
Creator,Jeremy Leven,Creator,1985,"Creator (1980), Jeremy Leven",Creator (1985),not_selected_sampling_design
Dad,William Wharton,Dad,1989,"Dad (1981), William Wharton",Dad (1989),not_selected_sampling_design
Dead Calm,Charles K. Williams,Dead Calm,1989,"Dead Calm (1963), Charles K. Williams",Dead Calm (1989),not_selected_sampling_design
Desert of the Heart,Jane Rule,Desert Hearts,1985,"Desert of the Heart (1964), Jane Rule",Desert Hearts (1985),not_selected_sampling_design
Doctor Slaughter,Paul Theroux,Half Moon Street,1986,"Doctor Slaughter (1984), Paul Theroux",Half Moon Street (1986),not_selected_sampling_design
Does Not Give a Damn,Dan Ben-Amotz,I Don't Give a Damn,1987,"Does Not Give a Damn (Hebrew: לא שם זין) (1973), Dan Ben-Amotz",I Don't Give a Damn (1987),not_selected_sampling_design
Everybody's All-American,Frank Deford,Everybody's All-American,1988,"Everybody's All-American (1981), Frank Deford",Everybody's All-American (1988),not_selected_sampling_design
Falling Angel,William Hjortsberg,Angel Heart,1987,"Falling Angel (1978), William Hjortsberg",Angel Heart (1987),not_selected_sampling_design
Farewell to the King,Pierre Schoendoerffer,Farewell to the King,1989,"Farewell to the King (French: L'Adieu au roi) (1969), Pierre Schoendoerffer",Farewell to the King (1989),not_selected_sampling_design
Friend,Diana Henstell,Deadly Friend,1986,"Friend (1985), Diana Henstell",Deadly Friend (1986),not_selected_sampling_design
Gardens of Stone,Nicholas Proffitt,Gardens of Stone,1987,"Gardens of Stone (1983), Nicholas Proffitt",Gardens of Stone (1987),not_selected_sampling_design
Gate of Flesh,Taijiro Tamura,Gate of Flesh,1988,"Gate of Flesh (肉体の門, Nikutai no mo) (1947), Taijiro Tamura",Gate of Flesh (1988),not_selected_sampling_design
Glitz,Elmore Leonard,Glitz,1988,"Glitz (1985), Elmore Leonard",Glitz (1988),not_selected_sampling_design
Hana no Furu Gogo,Teru Miyamoto,Hana no Furu Gogo,1989,"Hana no Furu Gogo (花の降る午後) (1988), Teru Miyamoto",Hana no Furu Gogo (1989),not_selected_sampling_design
In Country,Bobbie Ann Mason,In Country,1989,"In Country (1985), Bobbie Ann Mason",In Country (1989),not_selected_sampling_design
Ironweed,William Kennedy,Ironweed,1987,"Ironweed (1983), William Kennedy",Ironweed (1987),not_selected_sampling_design
Jaws,Peter Benchley,Jaws: The Revenge,1987,"Jaws (1974), Peter Benchley",Jaws: The Revenge (1987),not_selected_sampling_design
Kiss of the Spider Woman,Manuel Puig,Kiss of the Spider Woman,1985,"Kiss of the Spider Woman (1976), Manuel Puig",Kiss of the Spider Woman (1985),not_selected_sampling_design
Kitchen,Banana Yoshimoto,Kitchen,1989,"Kitchen (キッチン, Kitchin) (1988), Banana Yoshimoto",Kitchen (1989),not_selected_sampling_design
Lay This Laurel,Lincoln Kirstein,Glory,1989,"Lay This Laurel (1973), Lincoln Kirstein",Glory (1989),not_selected_sampling_design
Less than Zero,Bret Easton Ellis,Less than Zero,1987,"Less than Zero (1985), Bret Easton Ellis",Less than Zero (1987),not_selected_sampling_design
Maurice,E. M. Forster,Maurice,1987,"Maurice (1971), E. M. Forster",Maurice (1987),not_selected_sampling_design
Millennium,John Varley,Millennium,1989,"Millennium (1983), John Varley",Millennium (1989),not_selected_sampling_design
Nothing Lasts Forever,Roderick Thorp,Die Hard,1988,"Nothing Lasts Forever (1979), Roderick Thorp",Die Hard (1988),not_selected_sampling_design
One Gallant Rush,Peter Burchard,Glory,1989,"One Gallant Rush (1965), Peter Burchard",Glory (1989),not_selected_sampling_design
Pin,Andrew Neiderman,Pin,1988,"Pin (1981), Andrew Neiderman",Pin (1988),not_selected_sampling_design
Shoeless Joe,W. P. Kinsella,Field of Dreams,1989,"Shoeless Joe (1982), W. P. Kinsella",Field of Dreams (1989),not_selected_sampling_design
Slugs,Shaun Hutson,Slugs,1988,"Slugs (1982), Shaun Hutson",Slugs (1988),not_selected_sampling_design
Sour Sweet,Timothy Mo,Soursweet,1989,"Sour Sweet (1982), Timothy Mo",Soursweet (1989),not_selected_sampling_design
Tai-Pan,James Clavell,Tai-Pan,1986,"Tai-Pan (1966), James Clavell",Tai-Pan (1986),not_selected_sampling_design
The Accidental Tourist,Anne Tyler,The Accidental Tourist,1988,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),not_selected_sampling_design
The Assault,Harry Mulisch,The Assault,1986,"The Assault (Dutch: De Aanslag) (1982), Harry Mulisch",The Assault (1986),not_selected_sampling_design
The Aviator,Ernest K. Gann,The Aviator,1985,"The Aviator (1981), Ernest K. Gann",The Aviator (1985),not_selected_sampling_design
The Big Clock,Kenneth Fearing,No Way Out,1987,"The Big Clock (1946), Kenneth Fearing",No Way Out (1987),not_selected_sampling_design
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,The Black Arrow,1988,"The Black Arrow: A Tale of the Two Roses (1888), Robert Louis Stevenson",The Black Arrow (1988),not_selected_sampling_design
The Burglar in the Closet,Lawrence Block,Burglar,1987,"The Burglar in the Closet (1978), Lawrence Block",Burglar (1987),not_selected_sampling_design
The Burmese Harp,Michio Takeyama,The Burmese Harp,1985,"The Burmese Harp (Japanese: ビルマの竪琴, Biruma no tategoto) (1946), Michio Takeyama",The Burmese Harp (1985),not_selected_sampling_design
The Clan of the Cave Bear,Jean Auel,The Clan of the Cave Bear,1986,"The Clan of the Cave Bear (1980), Jean Auel",The Clan of the Cave Bear (1986),not_selected_sampling_design
The Color of Money,Walter Tevis,The Color of Money,1986,"The Color of Money (1984), Walter Tevis",The Color of Money (1986),not_selected_sampling_design
The Deceivers,John Masters,The Deceivers,1988,"The Deceivers (1952), John Masters",The Deceivers (1988),not_selected_sampling_design
The Fourth Protocol,Frederick Forsyth,The Fourth Protocol,1987,"The Fourth Protocol (1984), Frederick Forsyth",The Fourth Protocol (1987),not_selected_sampling_design
The Lair of the White Worm,Bram Stoker,The Lair of the White Worm,1988,"The Lair of the White Worm (1911), Bram Stoker",The Lair of the White Worm (1988),not_selected_sampling_design
The Man Who Fell to Earth,Walter Tevis,The Man Who Fell to Earth,1987,"The Man Who Fell to Earth (1963), Walter Tevis",The Man Who Fell to Earth (1987),not_selected_sampling_design
The Mosquito Coast,Paul Theroux,The Mosquito Coast,1986,"The Mosquito Coast (1981), Paul Theroux",The Mosquito Coast (1986),not_selected_sampling_design
The Naked Country,Morris West,The Naked Country,1985,"The Naked Country (1960), Morris West",The Naked Country (1985),not_selected_sampling_design
The Name of the Rose,Umberto Eco,The Name of the Rose,1986,"The Name of the Rose (1980), Umberto Eco",The Name of the Rose (1986),not_selected_sampling_design
The Princess Bride,William Goldman,The Princess Bride,1987,"The Princess Bride (1973), William Goldman",The Princess Bride (1987),not_selected_sampling_design
The Prisoner of Zenda,Anthony Hope,Prisoner of Zenda,1988,"The Prisoner of Zenda (1894), Anthony Hope",Prisoner of Zenda (1988),not_selected_sampling_design
The Quick and the Dead,Louis L'Amour,The Quick and the Dead,1987,"The Quick and the Dead (1973), Louis L'Amour",The Quick and the Dead (1987),not_selected_sampling_design
The Rainbow,D. H. Lawrence,The Rainbow,1989,"The Rainbow (1915), D. H. Lawrence",The Rainbow (1989),not_selected_sampling_design
The Second Victory,Morris West,The Second Victory,1986,"The Second Victory (1958) (a. k. a. Backlash), Morris West",The Second Victory (1986),not_selected_sampling_design
The Sound of Waves,Yukio Mishima,The Sound of Waves,1985,"The Sound of Waves (潮騒, Shiosai) (1954), Yukio Mishima",The Sound of Waves (1985),not_selected_sampling_design
The Three Worlds of Johnny Handsome,Morton Freedgood,Johnny Handsome,1989,"The Three Worlds of Johnny Handsome (1973), Morton Freedgood",Johnny Handsome (1989),not_selected_sampling_design
The Unbearable Lightness of Being,Milan Kundera,The Unbearable Lightness of Being,1988,"The Unbearable Lightness of Being (Czech: Nesnesitelná lehkost bytí) (1984), Milan Kundera",The Unbearable Lightness of Being (1988),not_selected_sampling_design
The Witches of Eastwick,John Updike,The Witches of Eastwick,1987,"The Witches of Eastwick (1984), John Updike",The Witches of Eastwick (1987),not_selected_sampling_design
The Women of Brewster Place,Gloria Naylor,The Women of Brewster Place,1989,"The Women of Brewster Place (1982), Gloria Naylor",The Women of Brewster Place (1989),not_selected_sampling_design
Wilt,Tom Sharpe,Wilt,1989,"Wilt (1976), Tom Sharpe",Wilt (1989),not_selected_sampling_design
To Have and Have Not,Ernest Hemingway,Captain Khorshid,1987,"To Have and Have Not (1937), Ernest Hemingway","Captain Khorshid (Persian: ناخدا خورشید, Nakhoda Khorshid) (1987)",not_selected_sampling_design
Angel Square,Brian Doyle,Angel Square,1990,"Angel Square (1987), Brian Doyle",Angel Square (1990),not_selected_sampling_design
Anglo-Saxon Attitudes,Angus Wilson,Anglo-Saxon Attitudes,1992,"Anglo-Saxon Attitudes (1956), Angus Wilson",Anglo-Saxon Attitudes (1992),not_selected_sampling_design
Billy Bathgate,E. L. Doctorow,Billy Bathgate,1991,"Billy Bathgate (1989), E. L. Doctorow",Billy Bathgate (1991),not_selected_sampling_design
Bitter Moon,Pascal Bruckner,Bitter Moon,1992,"Bitter Moon (French: Lunes de fiel) (1981), Pascal Bruckner",Bitter Moon (1992),not_selected_sampling_design
Bump in the Night,Isabelle Holland,Bump in the Night,1991,"Bump in the Night (1988), Isabelle Holland",Bump in the Night (1991),not_selected_sampling_design
Burton and Speke,William Harrison,Mountains of the Moon,1990,"Burton and Speke (1982), William Harrison",Mountains of the Moon (1990),not_selected_sampling_design
Coins in the Fountain,John Hermes Secondari,Coins in the Fountain,1990,"Coins in the Fountain (1952), John Hermes Secondari",Coins in the Fountain (1990),not_selected_sampling_design
Conagher,Louis L'Amour,Conagher,1991,"Conagher (1968), Louis L'Amour",Conagher (1991),not_selected_sampling_design
Damage,Josephine Hart,Damage,1992,"Damage (1991), Josephine Hart",Damage (1992),not_selected_sampling_design
Dirty Weekend,Helen Zahavi,Dirty Weekend,1993,"Dirty Weekend (1991), Helen Zahavi",Dirty Weekend (1993),not_selected_sampling_design
Dying Young,Marti Leimbach,Dying Young,1991,"Dying Young (1990), Marti Leimbach",Dying Young (1991),not_selected_sampling_design
Elles n'oublient jamais,Christopher Frank,Elles n'oublient jamais,1994,"Elles n'oublient jamais (1993), Christopher Frank",Elles n'oublient jamais (1994),not_selected_sampling_design
Farewell My Concubine,Lilian Lee,Farewell My Concubine,1993,"Farewell My Concubine (1991), Lilian Lee",Farewell My Concubine (1993),not_selected_sampling_design
Felidae,Akif Pirinçci,Felidae,1994,"Felidae (1989), Akif Pirinçci",Felidae (1994),not_selected_sampling_design
Flight of the Intruder,Stephen Coonts,Flight of the Intruder,1991,"Flight of the Intruder (1986), Stephen Coonts",Flight of the Intruder (1991),not_selected_sampling_design
Forrest Gump,Winston Groom,Forrest Gump,1994,"Forrest Gump (1986), Winston Groom",Forrest Gump (1994),not_selected_sampling_design
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Fried Green Tomatoes,1991,"Fried Green Tomatoes at the Whistle Stop Cafe (1987), Fannie Flagg",Fried Green Tomatoes (1991),not_selected_sampling_design
God's Mischief,M. Mukundan,Daivathinte Vikrithikal,1992,"God's Mischief (Malayalam: ദൈവത്തിന്റെ വികൃതികള്‍) (1989), M. Mukundan",Daivathinte Vikrithikal (1992),not_selected_sampling_design
Hammers Over the Anvil,Alan Marshall,Hammers Over the Anvil,1991,"Hammers Over the Anvil (1952), Alan Marshall",Hammers Over the Anvil (1991),not_selected_sampling_design
"Immortality, Inc.",Robert Sheckley,Freejack,1992,"Immortality, Inc. (1959), Robert Sheckley",Freejack (1992),not_selected_sampling_design
Jack in the Box,William Kotzwinkle,Book of Love,1990,"Jack in the Box (1980), William Kotzwinkle",Book of Love (1990),not_selected_sampling_design
Like Water for Chocolate,Laura Esquivel,Like Water for Chocolate,1992,"Like Water for Chocolate (Spanish: Como agua para chocolate) (1989), Laura Esquivel",Like Water for Chocolate (1992),not_selected_sampling_design
Lord of the Flies,William Golding,Lord of the Flies,1990,"Lord of the Flies (1954), William Golding",Lord of the Flies (1990),not_selected_sampling_design
Madame Doubtfire,Anne Fine,Mrs. Doubtfire,1993,"Madame Doubtfire (1987), Anne Fine",Mrs. Doubtfire (1993),not_selected_sampling_design
Naked Lunch,William S. Burroughs,Naked Lunch,1991,"Naked Lunch (1959), William S. Burroughs",Naked Lunch (1991),not_selected_sampling_design
Night and the City,Gerald Kersh,Night and the City,1992,"Night and the City (1938), Gerald Kersh",Night and the City (1992),not_selected_sampling_design
Of Mice and Men,John Steinbeck,Of Mice and Men,1992,"Of Mice and Men (1937), John Steinbeck",Of Mice and Men (1992),not_selected_sampling_design
Presumed Innocent,Scott Turow,Presumed Innocent,1990,"Presumed Innocent (1987), Scott Turow",Presumed Innocent (1990),not_selected_sampling_design
Q & A,Edwin Torres,Q & A,1990,"Q & A (1977), Edwin Torres",Q & A (1990),not_selected_sampling_design
Quick Change,Jay Cronley,Quick Change,1990,"Quick Change (1981), Jay Cronley",Quick Change (1990),not_selected_sampling_design
Shining Through,Susan Isaacs,Shining Through,1992,"Shining Through (1988), Susan Isaacs",Shining Through (1992),not_selected_sampling_design
Sliver,Ira Levin,Sliver,1993,"Sliver (1991), Ira Levin",Sliver (1993),not_selected_sampling_design
Stella Dallas,Olive Higgins Prouty,Stella,1990,"Stella Dallas (1923), Olive Higgins Prouty",Stella (1990),not_selected_sampling_design
Texasville,Larry McMurtry,Texasville,1990,"Texasville (1987), Larry McMurtry",Texasville (1990),not_selected_sampling_design
The Age of Innocence,Edith Wharton,The Age of Innocence,1993,"The Age of Innocence (1921), Edith Wharton",The Age of Innocence (1993),not_selected_sampling_design
The Beast Master,Andre Norton,Beastmaster 2: Through the Portal of Time,1991,"The Beast Master (1959), Andre Norton",Beastmaster 2: Through the Portal of Time (1991),not_selected_sampling_design
The Bilingual Lover,Juan Marsé,The Bilingual Lover,1993,"The Bilingual Lover (Spanish: El amante bilingüe) (1990), Juan Marsé",The Bilingual Lover (1993),not_selected_sampling_design
The Bonfire of the Vanities,Tom Wolfe,The Bonfire of the Vanities,1990,"The Bonfire of the Vanities (1987), Tom Wolfe",The Bonfire of the Vanities (1990),not_selected_sampling_design
The Cement Garden,Ian McEwan,The Cement Garden,1993,"The Cement Garden (1978), Ian McEwan",The Cement Garden (1993),not_selected_sampling_design
The Comfort of Strangers,Ian McEwan,The Comfort of Strangers,1990,"The Comfort of Strangers (1981), Ian McEwan",The Comfort of Strangers (1990),not_selected_sampling_design
The Desperate Hours,Joseph Hayes,Desperate Hours,1990,"The Desperate Hours (1954), Joseph Hayes",Desperate Hours (1990),not_selected_sampling_design
The Executioners,John D. MacDonald,Cape Fear,1991,"The Executioners (1957), John D. MacDonald",Cape Fear (1991),not_selected_sampling_design
The Garden of God,Henry De Vere Stacpoole,Return to the Blue Lagoon,1991,"The Garden of God (1923), Henry De Vere Stacpoole",Return to the Blue Lagoon (1991),not_selected_sampling_design
The Getaway,Jim Thompson,The Getaway,1994,"The Getaway (1959), Jim Thompson",The Getaway (1994),not_selected_sampling_design
The Godfather,Mario Puzo,The Godfather Part III,1990,"The Godfather (1969), Mario Puzo",The Godfather Part III (1990),not_selected_sampling_design
The Grifters,Jim Thompson,The Grifters,1990,"The Grifters (1963), Jim Thompson",The Grifters (1990),not_selected_sampling_design
The Guilty Head,Romain Gary,Les faussaires,1994,"The Guilty Head (1969), Romain Gary",Les faussaires (1994),not_selected_sampling_design
The Handmaid's Tale,Margaret Atwood,The Handmaid's Tale,1990,"The Handmaid's Tale (1985), Margaret Atwood",The Handmaid's Tale (1990),not_selected_sampling_design
The House of the Spirits,Isabel Allende,The House of the Spirits,1993,"The House of the Spirits (Spanish: La casa de los espíritus) (1982), Isabel Allende",The House of the Spirits (1993),not_selected_sampling_design
The Innocent,Ian McEwan,The Innocent,1993,"The Innocent (1990), Ian McEwan",The Innocent (1993),not_selected_sampling_design
The Joy Luck Club,Amy Tan,The Joy Luck Club,1993,"The Joy Luck Club (1989), Amy Tan",The Joy Luck Club (1993),not_selected_sampling_design
The Law at Randado,Elmore Leonard,Border Shootout,1990,"The Law at Randado (1954), Elmore Leonard",Border Shootout (1990),not_selected_sampling_design
The Nanny,Dan Greenburg,The Guardian,1990,"The Nanny (1987), Dan Greenburg",The Guardian (1990),not_selected_sampling_design
The Neverending Story,Michael Ende,The NeverEnding Story III,1994,"The Neverending Story (1979), Michael Ende",The NeverEnding Story III (1994),not_selected_sampling_design
The Penal Colony,Richard Herley,No Escape,1994,"The Penal Colony (1987), Richard Herley",No Escape (1994),not_selected_sampling_design
The Power of One,Bryce Courtenay,The Power of One,1992,"The Power of One (1989), Bryce Courtenay",The Power of One (1992),not_selected_sampling_design
The Prince of Tides,Pat Conroy,The Prince of Tides,1991,"The Prince of Tides (1986), Pat Conroy",The Prince of Tides (1991),not_selected_sampling_design
The Puppet Masters,Robert A. Heinlein,The Puppet Masters,1994,"The Puppet Masters (1951), Robert A. Heinlein",The Puppet Masters (1994),not_selected_sampling_design
The Remains of the Day,Ishiguro,The Remains of the Day,1993,"The Remains of the Day (1989), Ishiguro",The Remains of the Day (1993),not_selected_sampling_design
The Rescuers,Margery Sharp,The Rescuers Down Under,1990,"The Rescuers (1959), Margery Sharp",The Rescuers Down Under (1990),not_selected_sampling_design
The Trial,Franz Kafka,The Trial,1993,"The Trial (1925), Franz Kafka",The Trial (1993),not_selected_sampling_design
Why Me?,Donald E. Westlake,Why Me?,1990,"Why Me? (1983), Donald E. Westlake",Why Me? (1990),not_selected_sampling_design
All She Was Worth,Miyuki Miyabe,Kasha: Kâdo hasan no onna!,1994,"All She Was Worth (火車, Kasha) (1992), Miyuki Miyabe",Kasha: Kâdo hasan no onna! (1994),not_selected_sampling_design
"Always Outnumbered, Always Outgunned",Walter Mosley,Always Outnumbered,1998,"Always Outnumbered, Always Outgunned (1987), Walter Mosley",Always Outnumbered (1998),not_selected_sampling_design
Anna and the King of Siam,Margaret Landon,The King and I,1999,"Anna and the King of Siam (1944), Margaret Landon",The King and I (1999),not_selected_sampling_design
Audition,Ryu Murakami,Audition,1999,"Audition (オーディション, Ōdishon) (1997), Ryu Murakami",Audition (1999),not_selected_sampling_design
Bastard Out of Carolina,Dorothy Allison,Bastard Out of Carolina,1996,"Bastard Out of Carolina (1992), Dorothy Allison",Bastard Out of Carolina (1996),not_selected_sampling_design
Beast,Peter Benchley,The Beast,1996,"Beast (1991), Peter Benchley",The Beast (1996),not_selected_sampling_design
Beloved,Toni Morrison,Beloved,1998,"Beloved (1987), Toni Morrison",Beloved (1998),not_selected_sampling_design
Brave New World,Aldous Huxley,Brave New World,1998,"Brave New World (1932), Aldous Huxley",Brave New World (1998),not_selected_sampling_design
Bringing Out the Dead,Joe Connelly,Bringing Out the Dead,1999,"Bringing Out the Dead (1998), Joe Connelly",Bringing Out the Dead (1999),not_selected_sampling_design
Brown's Requiem,James Ellroy,Brown's Requiem,1998,"Brown's Requiem (1981), James Ellroy",Brown's Requiem (1998),not_selected_sampling_design
Clockers,Richard Price,Clockers,1995,"Clockers (1992), Richard Price",Clockers (1995),not_selected_sampling_design
Contact,Carl Sagan,Contact,1997,"Contact (1985), Carl Sagan",Contact (1997),not_selected_sampling_design
Cracking India,Bapsi Sidhwa,Earth,1998,"Cracking India (1991), Bapsi Sidhwa",Earth (1998),not_selected_sampling_design
Crash,J. G. Ballard,Crash,1996,"Crash (1973), J. G. Ballard",Crash (1996),not_selected_sampling_design
Don't Tell Anyone,Jaime Bayly,No se lo Digas a Nadie (Don't Tell Anyone),1998,"Don't Tell Anyone (Spanish: No se lo digas a nadie) (1994), Jaime Bayly",No se lo Digas a Nadie (Don't Tell Anyone) (1998),not_selected_sampling_design
Down Will Come Baby,Gloria Murphy,Down Will Come Baby,1999,"Down Will Come Baby (1991), Gloria Murphy",Down Will Come Baby (1999),not_selected_sampling_design
Fight Club,Chuck Palahniuk,Fight Club,1999,"Fight Club (1996), Chuck Palahniuk",Fight Club (1999),not_selected_sampling_design
For Love of the Game,Michael Shaara,For Love of the Game,1999,"For Love of the Game (1991), Michael Shaara",For Love of the Game (1999),not_selected_sampling_design
Get Shorty,Elmore Leonard,Get Shorty,1995,"Get Shorty (1990), Elmore Leonard",Get Shorty (1995),not_selected_sampling_design
Gold Coast,Elmore Leonard,Gold Coast,1997,"Gold Coast (1980), Elmore Leonard",Gold Coast (1997),not_selected_sampling_design
Jimmy the Kid,Donald E. Westlake,Jimmy the Kid,1998,"Jimmy the Kid (1967), Donald E. Westlake",Jimmy the Kid (1998),not_selected_sampling_design
Jude the Obscure,Thomas Hardy,Jude,1996,"Jude the Obscure (1895), Thomas Hardy",Jude (1996),not_selected_sampling_design
L.A. Confidential,James Ellroy,L.A. Confidential,1997,"L.A. Confidential (1990), James Ellroy",L.A. Confidential (1997),not_selected_sampling_design
Last Stand at Saber River,Elmore Leonard,Last Stand at Saber River,1997,"Last Stand at Saber River (1959), Elmore Leonard",Last Stand at Saber River (1997),not_selected_sampling_design
Loaded,Christos Tsiolkas,Head On,1998,"Loaded (1995), Christos Tsiolkas",Head On (1998),not_selected_sampling_design
Lolita,Vladimir Nabokov,Lolita,1997,"Lolita (1955), Vladimir Nabokov",Lolita (1997),not_selected_sampling_design
Morpho Eugenia,A. S. Byatt,Angels & Insects,1996,"Morpho Eugenia (1992), A. S. Byatt",Angels & Insects (1996),not_selected_sampling_design
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,The Secret of NIMH 2: Timmy to the Rescue,1999,"Mrs. Frisby and the Rats of NIMH (1971), Robert C. O'Brien",The Secret of NIMH 2: Timmy to the Rescue (1999),not_selected_sampling_design
My Ántonia,Willa Cather,My Antonia,1995,"My Ántonia (1918), Willa Cather",My Antonia (1995),not_selected_sampling_design
Out of Sight,Elmore Leonard,Out of Sight,1998,"Out of Sight (1996), Elmore Leonard",Out of Sight (1998),not_selected_sampling_design
Perfect Little Angels,Andrew Neiderman,Perfect Little Angels,1998,"Perfect Little Angels (1989), Andrew Neiderman",Perfect Little Angels (1998),not_selected_sampling_design
Poodle Springs,Raymond Chandler and Robert B. Parker,Poodle Springs,1998,"Poodle Springs (written 1959–1988, published 1989), Raymond Chandler and Robert B. Parker",Poodle Springs (1998),not_selected_sampling_design
Pronto,Elmore Leonard,Pronto,1997,"Pronto (1993), Elmore Leonard",Pronto (1997),not_selected_sampling_design
Psycho,Robert Bloch,Psycho,1998,"Psycho (1959), Robert Bloch",Psycho (1998),not_selected_sampling_design
Riders of the Purple Sage,Zane Grey,Riders of the Purple Sage,1996,"Riders of the Purple Sage (1912), Zane Grey",Riders of the Purple Sage (1996),not_selected_sampling_design
Rum Punch,Elmore Leonard,Jackie Brown,1997,"Rum Punch (1992), Elmore Leonard",Jackie Brown (1997),not_selected_sampling_design
Simple Simon,Ryne Douglas Pearson,Mercury Rising,1998,"Simple Simon (1996), Ryne Douglas Pearson",Mercury Rising (1998),not_selected_sampling_design
Small Vices,Robert B. Parker,Spenser: Small Vices,1999,"Small Vices (1997), Robert B. Parker",Spenser: Small Vices (1999),not_selected_sampling_design
Strangers on a Train,Patricia Highsmith,Once You Meet a Stranger,1996,"Strangers on a Train (1950), Patricia Highsmith",Once You Meet a Stranger (1996),not_selected_sampling_design
The Beast in Man,Émile Zola,Cruel Train,1995,"The Beast in Man (French: La Bête humaine) (1890), Émile Zola",Cruel Train (1995),not_selected_sampling_design
The Bishop's Wife,Robert Nathan,The Preacher's Wife,1996,"The Bishop's Wife (1928), Robert Nathan",The Preacher's Wife (1996),not_selected_sampling_design
The Blood Oranges,John Hawkes,The Blood Oranges,1997,"The Blood Oranges (1970), John Hawkes",The Blood Oranges (1997),not_selected_sampling_design
The Brave Little Toaster,Thomas M. Disch,The Brave Little Toaster Goes to Mars,1998,"The Brave Little Toaster (1986), Thomas M. Disch",The Brave Little Toaster Goes to Mars (1998),not_selected_sampling_design
The Bridges of Madison County,Robert James Waller,The Bridges of Madison County,1995,"The Bridges of Madison County (a. k. a. Love in Black and White) (1992), Robert James Waller",The Bridges of Madison County (1995),not_selected_sampling_design
The Castle,Franz Kafka,The Castle,1997,"The Castle (German: Das Schloß) (1926), Franz Kafka",The Castle (1997),not_selected_sampling_design
The Cider House Rules,John Irving,The Cider House Rules,1999,"The Cider House Rules (1985), John Irving",The Cider House Rules (1999),not_selected_sampling_design
The Club Dumas,Arturo Pérez-Reverte,The Ninth Gate,1999,"The Club Dumas (Spanish: El Club Dumas) (1993), Arturo Pérez-Reverte",The Ninth Gate (1999),not_selected_sampling_design
The Day of the Jackal,Frederick Forsyth,The Jackal,1997,"The Day of the Jackal (1971), Frederick Forsyth",The Jackal (1997),not_selected_sampling_design
The Deep End of the Ocean,Jacquelyn Mitchard,The Deep End of the Ocean,1999,"The Deep End of the Ocean (1996), Jacquelyn Mitchard",The Deep End of the Ocean (1999),not_selected_sampling_design
The Dork of Cork,Chet Raymo,Frankie Starlight,1995,"The Dork of Cork (1993), Chet Raymo",Frankie Starlight (1995),not_selected_sampling_design
The End of the Affair,Graham Greene,The End of the Affair,1999,"The End of the Affair (1951), Graham Greene",The End of the Affair (1999),not_selected_sampling_design
The English Patient,Michael Ondaatje,The English Patient,1996,"The English Patient (1992), Michael Ondaatje",The English Patient (1996),not_selected_sampling_design
The Evening Star,Larry McMurtry,The Evening Star,1996,"The Evening Star (1992), Larry McMurtry",The Evening Star (1996),not_selected_sampling_design
